	Gilbertella_persicariavar.indica_CBS_442.64-.aa	Gilbertella_persicariavar.persicaria_CBS_246.59_Plus.aa
OG0003162	GBNTN_003645-T1	GBNWO_003332-T1
OG0003163	GBNTN_003646-T1	GBNWO_003333-T1
OG0003164	GBNTN_003647-T1	GBNWO_003334-T1
OG0003165	GBNTN_003648-T1	GBNWO_003335-T1
OG0003166	GBNTN_003649-T1	GBNWO_003336-T1
OG0003167	GBNTN_003653-T1	GBNWO_007715-T1
OG0003168	GBNTN_003655-T1	GBNWO_008879-T1
OG0003169	GBNTN_003656-T1	GBNWO_005914-T1
OG0003170	GBNTN_003657-T1	GBNWO_005913-T1
OG0003171	GBNTN_003660-T1	GBNWO_005911-T1
OG0003172	GBNTN_003662-T1	GBNWO_005909-T1
OG0003173	GBNTN_003666-T1	GBNWO_009126-T1
OG0003174	GBNTN_003667-T1	GBNWO_009127-T1
OG0003175	GBNTN_003668-T1	GBNWO_007296-T1
OG0003176	GBNTN_003671-T1	GBNWO_008774-T1
OG0003177	GBNTN_003673-T1	GBNWO_008772-T1
OG0003178	GBNTN_003674-T1	GBNWO_008771-T1
OG0003179	GBNTN_003675-T1	GBNWO_008770-T1
OG0003180	GBNTN_003677-T1	GBNWO_001506-T1
OG0003181	GBNTN_003678-T1	GBNWO_001505-T1
OG0003182	GBNTN_003680-T1	GBNWO_007439-T1
OG0003183	GBNTN_003681-T1	GBNWO_007440-T1
OG0003184	GBNTN_003683-T1	GBNWO_001362-T1
OG0003185	GBNTN_003686-T1	GBNWO_000734-T1
OG0003186	GBNTN_003687-T1	GBNWO_000507-T1
OG0003187	GBNTN_003688-T1	GBNWO_000506-T1
OG0003188	GBNTN_003689-T1	GBNWO_008538-T1
OG0003189	GBNTN_003690-T1	GBNWO_008537-T1
OG0003190	GBNTN_003691-T1	GBNWO_008536-T1
OG0003191	GBNTN_003693-T1	GBNWO_007077-T1
OG0003192	GBNTN_003694-T1	GBNWO_007076-T1
OG0003193	GBNTN_003695-T1	GBNWO_007075-T1
OG0003194	GBNTN_003696-T1	GBNWO_007074-T1
OG0003195	GBNTN_003697-T1	GBNWO_004026-T1
OG0003196	GBNTN_003698-T1	GBNWO_004027-T1
OG0003197	GBNTN_003700-T1	GBNWO_004028-T1
OG0003198	GBNTN_003701-T1	GBNWO_001580-T1
OG0003199	GBNTN_003702-T1	GBNWO_001581-T1
OG0003200	GBNTN_003703-T1	GBNWO_001582-T1
OG0003201	GBNTN_003705-T1	GBNWO_001584-T1
OG0003202	GBNTN_003706-T1	GBNWO_001585-T1
OG0003203	GBNTN_003707-T1	GBNWO_001586-T1
OG0003204	GBNTN_003710-T1	GBNWO_002433-T1
OG0003205	GBNTN_003711-T1	GBNWO_006033-T1
OG0003206	GBNTN_003713-T1	GBNWO_006031-T1
OG0003207	GBNTN_003715-T1	GBNWO_006029-T1
OG0003208	GBNTN_003716-T1	GBNWO_004678-T1
OG0003209	GBNTN_003719-T1	GBNWO_007010-T1
OG0003210	GBNTN_003720-T1	GBNWO_007009-T1
OG0003211	GBNTN_003721-T1	GBNWO_007008-T1
OG0003212	GBNTN_003722-T1	GBNWO_007007-T1
OG0003213	GBNTN_003723-T1	GBNWO_007006-T1
OG0003214	GBNTN_003724-T1	GBNWO_007005-T1
OG0003215	GBNTN_003725-T1	GBNWO_007004-T1
OG0003216	GBNTN_003726-T1	GBNWO_002039-T1
OG0003217	GBNTN_003728-T1	GBNWO_002955-T1
OG0003218	GBNTN_003730-T1	GBNWO_002953-T1
OG0003219	GBNTN_003732-T1	GBNWO_002951-T1
OG0003220	GBNTN_003733-T1	GBNWO_002950-T1
OG0003221	GBNTN_003734-T1	GBNWO_002949-T1
OG0003222	GBNTN_003735-T1	GBNWO_009348-T1
OG0003223	GBNTN_003736-T1	GBNWO_009347-T1
OG0003224	GBNTN_003737-T1	GBNWO_009346-T1
OG0003225	GBNTN_003738-T1	GBNWO_009345-T1
OG0003226	GBNTN_003739-T1	GBNWO_009344-T1
OG0003227	GBNTN_003742-T1	GBNWO_001430-T1
OG0003228	GBNTN_003744-T1	GBNWO_003050-T1
OG0003229	GBNTN_003748-T1	GBNWO_004344-T1
OG0003230	GBNTN_003749-T1	GBNWO_003693-T1
OG0003231	GBNTN_003750-T1	GBNWO_002032-T1
OG0003232	GBNTN_003751-T1	GBNWO_002031-T1
OG0003233	GBNTN_003752-T1	GBNWO_002030-T1
OG0003234	GBNTN_003753-T1	GBNWO_000760-T1
OG0003235	GBNTN_003754-T1	GBNWO_000759-T1
OG0003236	GBNTN_003755-T1	GBNWO_000758-T1
OG0003237	GBNTN_003758-T1	GBNWO_004783-T1
OG0003238	GBNTN_003759-T1	GBNWO_004784-T1
OG0003239	GBNTN_003761-T1	GBNWO_003062-T1
OG0003240	GBNTN_003762-T1	GBNWO_003061-T1
OG0003241	GBNTN_003763-T1	GBNWO_003060-T1
OG0003242	GBNTN_003765-T1	GBNWO_003058-T1
OG0003243	GBNTN_003767-T1	GBNWO_007924-T1
OG0003244	GBNTN_003770-T1	GBNWO_005610-T1
OG0003245	GBNTN_003772-T1	GBNWO_009570-T1
OG0003246	GBNTN_003775-T1	GBNWO_009573-T1
OG0003247	GBNTN_003776-T1	GBNWO_005180-T1
OG0003248	GBNTN_003777-T1	GBNWO_005179-T1
OG0003249	GBNTN_003778-T1	GBNWO_007298-T1
OG0003250	GBNTN_003779-T1	GBNWO_009482-T1
OG0003251	GBNTN_003780-T1	GBNWO_005915-T1
OG0003252	GBNTN_003782-T1	GBNWO_004489-T1
OG0003253	GBNTN_003783-T1	GBNWO_006998-T1
OG0003254	GBNTN_003784-T1	GBNWO_006999-T1
OG0003255	GBNTN_003785-T1	GBNWO_007000-T1
OG0003256	GBNTN_003786-T1	GBNWO_007001-T1
OG0003257	GBNTN_003794-T1	GBNWO_005148-T1
OG0003258	GBNTN_003795-T1	GBNWO_005146-T1
OG0003259	GBNTN_003797-T1	GBNWO_002917-T1
OG0003260	GBNTN_003799-T1	GBNWO_003344-T1
OG0003261	GBNTN_003800-T1	GBNWO_003343-T1
OG0003262	GBNTN_003801-T1	GBNWO_002957-T1
OG0003263	GBNTN_003802-T1	GBNWO_003408-T1
OG0003264	GBNTN_003807-T1	GBNWO_005485-T1
OG0003265	GBNTN_003811-T1	GBNWO_005488-T1
OG0003266	GBNTN_003812-T1	GBNWO_005489-T1
OG0003267	GBNTN_003814-T1	GBNWO_006663-T1
OG0003268	GBNTN_003817-T1	GBNWO_006666-T1
OG0003269	GBNTN_003819-T1	GBNWO_003469-T1
OG0003270	GBNTN_003820-T1	GBNWO_003470-T1
OG0003271	GBNTN_003821-T1	GBNWO_000681-T1
OG0003272	GBNTN_003822-T1	GBNWO_000682-T1
OG0003273	GBNTN_003823-T1	GBNWO_000683-T1
OG0003274	GBNTN_003825-T1	GBNWO_000684-T1
OG0003275	GBNTN_003826-T1	GBNWO_000685-T1
OG0003276	GBNTN_003827-T1	GBNWO_000687-T1
OG0003277	GBNTN_003828-T1	GBNWO_009000-T1
OG0003278	GBNTN_003829-T1	GBNWO_009001-T1
OG0003279	GBNTN_003833-T1	GBNWO_007921-T1
OG0003280	GBNTN_003834-T1	GBNWO_005340-T1
OG0003281	GBNTN_003835-T1	GBNWO_004488-T1
OG0003282	GBNTN_003837-T1	GBNWO_005192-T1
OG0003283	GBNTN_003838-T1	GBNWO_005191-T1
OG0003284	GBNTN_003839-T1	GBNWO_005190-T1
OG0003285	GBNTN_003844-T1	GBNWO_008568-T1
OG0003286	GBNTN_003845-T1	GBNWO_008569-T1
OG0003287	GBNTN_003846-T1	GBNWO_008570-T1
OG0003288	GBNTN_003847-T1	GBNWO_008571-T1
OG0003289	GBNTN_003850-T1	GBNWO_004664-T1
OG0003290	GBNTN_003851-T1	GBNWO_004665-T1
OG0003291	GBNTN_003852-T1	GBNWO_009630-T1
OG0003292	GBNTN_003854-T1	GBNWO_009627-T1
OG0003293	GBNTN_003855-T1	GBNWO_009626-T1
OG0003294	GBNTN_003856-T1	GBNWO_009625-T1
OG0003295	GBNTN_003862-T1	GBNWO_005856-T1
OG0003296	GBNTN_003863-T1	GBNWO_005855-T1
OG0003297	GBNTN_003864-T1	GBNWO_005854-T1
OG0003298	GBNTN_003866-T1	GBNWO_002835-T1
OG0003299	GBNTN_003867-T1	GBNWO_001061-T1
OG0003300	GBNTN_003868-T1	GBNWO_001060-T1
OG0003301	GBNTN_003874-T1	GBNWO_005089-T1
OG0003302	GBNTN_003876-T1	GBNWO_002028-T1
OG0003303	GBNTN_003879-T1	GBNWO_005430-T1
OG0003304	GBNTN_003880-T1	GBNWO_005431-T1
OG0003305	GBNTN_003881-T1	GBNWO_005432-T1
OG0003306	GBNTN_003882-T1	GBNWO_005433-T1
OG0003307	GBNTN_003883-T1	GBNWO_005434-T1
OG0003308	GBNTN_003884-T1	GBNWO_005435-T1
OG0003309	GBNTN_003885-T1	GBNWO_005436-T1
OG0003310	GBNTN_003886-T1	GBNWO_005437-T1
OG0003311	GBNTN_003887-T1	GBNWO_005438-T1
OG0003312	GBNTN_003888-T1	GBNWO_000226-T1
OG0003313	GBNTN_003889-T1	GBNWO_000225-T1
OG0003314	GBNTN_003891-T1	GBNWO_000222-T1
OG0003315	GBNTN_003895-T1	GBNWO_007633-T1
OG0003316	GBNTN_003896-T1	GBNWO_007632-T1
OG0003317	GBNTN_003897-T1	GBNWO_007631-T1
OG0003318	GBNTN_003898-T1	GBNWO_007630-T1
OG0003319	GBNTN_003899-T1	GBNWO_005756-T1
OG0003320	GBNTN_003900-T1	GBNWO_005757-T1
OG0003321	GBNTN_003901-T1	GBNWO_005758-T1
OG0003322	GBNTN_003902-T1	GBNWO_005759-T1
OG0003323	GBNTN_003903-T1	GBNWO_005760-T1
OG0003324	GBNTN_003905-T1	GBNWO_005762-T1
OG0003325	GBNTN_003909-T1	GBNWO_000239-T1
OG0003326	GBNTN_003911-T1	GBNWO_000237-T1
OG0003327	GBNTN_003912-T1	GBNWO_000236-T1
OG0003328	GBNTN_003913-T1	GBNWO_000235-T1
OG0003329	GBNTN_003915-T1	GBNWO_004522-T1
OG0003330	GBNTN_003916-T1	GBNWO_004521-T1
OG0003331	GBNTN_003917-T1	GBNWO_003415-T1
OG0003332	GBNTN_003918-T1	GBNWO_003414-T1
OG0003333	GBNTN_003919-T1	GBNWO_008541-T1
OG0003334	GBNTN_003920-T1	GBNWO_008542-T1
OG0003335	GBNTN_003921-T1	GBNWO_008543-T1
OG0003336	GBNTN_003923-T1	GBNWO_001108-T1
OG0003337	GBNTN_003924-T1	GBNWO_001107-T1
OG0003338	GBNTN_003925-T1	GBNWO_001106-T1
OG0003339	GBNTN_003926-T1	GBNWO_006989-T1
OG0003340	GBNTN_003928-T1	GBNWO_006988-T1
OG0003341	GBNTN_003929-T1	GBNWO_006987-T1
OG0003342	GBNTN_003930-T1	GBNWO_004814-T1
OG0003343	GBNTN_003931-T1	GBNWO_004815-T1
OG0003344	GBNTN_003932-T1	GBNWO_004816-T1
OG0003345	GBNTN_003936-T1	GBNWO_004820-T1
OG0003346	GBNTN_003937-T1	GBNWO_004821-T1
OG0003347	GBNTN_003940-T1	GBNWO_002705-T1
OG0003348	GBNTN_003941-T1	GBNWO_001347-T1
OG0003349	GBNTN_003942-T1	GBNWO_001346-T1
OG0003350	GBNTN_003943-T1	GBNWO_001345-T1
OG0003351	GBNTN_003944-T1	GBNWO_008091-T1
OG0003352	GBNTN_003946-T1	GBNWO_008090-T1
OG0003353	GBNTN_003950-T1	GBNWO_001450-T1
OG0003354	GBNTN_003951-T1	GBNWO_007253-T1
OG0003355	GBNTN_003952-T1	GBNWO_007254-T1
OG0003356	GBNTN_003954-T1	GBNWO_002981-T1
OG0003357	GBNTN_003955-T1	GBNWO_002076-T1
OG0003358	GBNTN_003956-T1	GBNWO_002077-T1
OG0003359	GBNTN_003958-T1	GBNWO_000693-T1
OG0003360	GBNTN_003963-T1	GBNWO_004623-T1
OG0003361	GBNTN_003967-T1	GBNWO_009584-T1
OG0003362	GBNTN_003968-T1	GBNWO_009583-T1
OG0003363	GBNTN_003969-T1	GBNWO_009582-T1
OG0003364	GBNTN_003970-T1	GBNWO_009581-T1
OG0003365	GBNTN_003971-T1	GBNWO_009580-T1
OG0003366	GBNTN_003972-T1	GBNWO_009579-T1
OG0003367	GBNTN_003973-T1	GBNWO_009578-T1
OG0003368	GBNTN_003977-T1	GBNWO_006494-T1
OG0003369	GBNTN_003978-T1	GBNWO_006493-T1
OG0003370	GBNTN_003979-T1	GBNWO_006492-T1
OG0003371	GBNTN_003981-T1	GBNWO_006491-T1
OG0003372	GBNTN_003982-T1	GBNWO_006490-T1
OG0003373	GBNTN_003983-T1	GBNWO_006489-T1
OG0003374	GBNTN_003986-T1	GBNWO_008938-T1
OG0003375	GBNTN_003987-T1	GBNWO_008939-T1
OG0003376	GBNTN_003988-T1	GBNWO_008940-T1
OG0003377	GBNTN_003989-T1	GBNWO_008941-T1
OG0003378	GBNTN_003990-T1	GBNWO_008942-T1
OG0003379	GBNTN_003991-T1	GBNWO_001869-T1
OG0003380	GBNTN_003992-T1	GBNWO_001870-T1
OG0003381	GBNTN_003993-T1	GBNWO_001871-T1
OG0003382	GBNTN_003994-T1	GBNWO_002415-T1
OG0003383	GBNTN_003995-T1	GBNWO_002416-T1
OG0003384	GBNTN_003996-T1	GBNWO_002417-T1
OG0003385	GBNTN_003998-T1	GBNWO_002419-T1
OG0003386	GBNTN_003999-T1	GBNWO_002421-T1
OG0003387	GBNTN_004000-T1	GBNWO_002422-T1
OG0003388	GBNTN_004003-T1	GBNWO_007269-T1
OG0003389	GBNTN_004009-T1	GBNWO_006929-T1
OG0003390	GBNTN_004010-T1	GBNWO_006930-T1
OG0003391	GBNTN_004011-T1	GBNWO_006931-T1
OG0003392	GBNTN_004012-T1	GBNWO_006932-T1
OG0003393	GBNTN_004013-T1	GBNWO_006933-T1
OG0003394	GBNTN_004016-T1	GBNWO_006318-T1
OG0003395	GBNTN_004020-T1	GBNWO_006316-T1
OG0003396	GBNTN_004021-T1	GBNWO_000672-T1
OG0003397	GBNTN_004022-T1	GBNWO_000671-T1
OG0003398	GBNTN_004023-T1	GBNWO_000670-T1
OG0003399	GBNTN_004024-T1	GBNWO_000669-T1
OG0003400	GBNTN_004025-T1	GBNWO_004940-T1
OG0003401	GBNTN_004028-T1	GBNWO_005946-T1
OG0003402	GBNTN_004029-T1	GBNWO_005947-T1
OG0003403	GBNTN_004031-T1	GBNWO_005949-T1
OG0003404	GBNTN_004034-T1	GBNWO_000573-T1
OG0003405	GBNTN_004035-T1	GBNWO_000571-T1
OG0003406	GBNTN_004036-T1	GBNWO_000570-T1
OG0003407	GBNTN_004037-T1	GBNWO_000569-T1
OG0003408	GBNTN_004038-T1	GBNWO_000568-T1
OG0003409	GBNTN_004039-T1	GBNWO_000567-T1
OG0003410	GBNTN_004040-T1	GBNWO_000566-T1
OG0003411	GBNTN_004041-T1	GBNWO_004397-T1
OG0003412	GBNTN_004042-T1	GBNWO_007504-T1
OG0003413	GBNTN_004046-T1	GBNWO_005585-T1
OG0003414	GBNTN_004049-T1	GBNWO_009371-T1
OG0003415	GBNTN_004050-T1	GBNWO_009370-T1
OG0003416	GBNTN_004051-T1	GBNWO_001917-T1
OG0003417	GBNTN_004052-T1	GBNWO_004589-T1
OG0003418	GBNTN_004053-T1	GBNWO_001945-T1
OG0003419	GBNTN_004054-T1	GBNWO_001944-T1
OG0003420	GBNTN_004056-T1	GBNWO_004210-T1
OG0003421	GBNTN_004057-T1	GBNWO_004209-T1
OG0003422	GBNTN_004058-T1	GBNWO_004208-T1
OG0003423	GBNTN_004062-T1	GBNWO_004970-T1
OG0003424	GBNTN_004067-T1	GBNWO_005268-T1
OG0003425	GBNTN_004069-T1	GBNWO_005269-T1
OG0003426	GBNTN_004070-T1	GBNWO_003523-T1
OG0003427	GBNTN_004072-T1	GBNWO_009565-T1
OG0003428	GBNTN_004073-T1	GBNWO_009566-T1
OG0003429	GBNTN_004074-T1	GBNWO_009567-T1
OG0003430	GBNTN_004075-T1	GBNWO_009568-T1
OG0003431	GBNTN_004076-T1	GBNWO_002403-T1
OG0003432	GBNTN_004078-T1	GBNWO_000724-T1
OG0003433	GBNTN_004079-T1	GBNWO_000723-T1
OG0003434	GBNTN_004080-T1	GBNWO_000722-T1
OG0003435	GBNTN_004081-T1	GBNWO_000721-T1
OG0003436	GBNTN_004083-T1	GBNWO_005598-T1
OG0003437	GBNTN_004084-T1	GBNWO_002623-T1
OG0003438	GBNTN_004085-T1	GBNWO_002622-T1
OG0003439	GBNTN_004086-T1	GBNWO_001835-T1
OG0003440	GBNTN_004087-T1	GBNWO_009431-T1
OG0003441	GBNTN_004088-T1	GBNWO_009430-T1
OG0003442	GBNTN_004090-T1	GBNWO_002457-T1
OG0003443	GBNTN_004091-T1	GBNWO_002458-T1
OG0003444	GBNTN_004093-T1	GBNWO_005586-T1
OG0003445	GBNTN_004094-T1	GBNWO_003722-T1
OG0003446	GBNTN_004096-T1	GBNWO_003721-T1
OG0003447	GBNTN_004097-T1	GBNWO_003720-T1
OG0003448	GBNTN_004098-T1	GBNWO_003719-T1
OG0003449	GBNTN_004099-T1	GBNWO_003718-T1
OG0003450	GBNTN_004103-T1	GBNWO_001820-T1
OG0003451	GBNTN_004104-T1	GBNWO_001819-T1
OG0003452	GBNTN_004105-T1	GBNWO_000411-T1
OG0003453	GBNTN_004107-T1	GBNWO_003689-T1
OG0003454	GBNTN_004109-T1	GBNWO_001223-T1
OG0003455	GBNTN_004110-T1	GBNWO_001222-T1
OG0003456	GBNTN_004112-T1	GBNWO_000651-T1
OG0003457	GBNTN_004115-T1	GBNWO_000648-T1
OG0003458	GBNTN_004116-T1	GBNWO_000647-T1
OG0003459	GBNTN_004117-T1	GBNWO_000646-T1
OG0003460	GBNTN_004118-T1	GBNWO_000645-T1
OG0003461	GBNTN_004119-T1	GBNWO_000644-T1
OG0003462	GBNTN_004120-T1	GBNWO_000643-T1
OG0003463	GBNTN_004123-T1	GBNWO_000641-T1
OG0003464	GBNTN_004124-T1	GBNWO_000640-T1
OG0003465	GBNTN_004127-T1	GBNWO_005507-T1
OG0003466	GBNTN_004129-T1	GBNWO_005509-T1
OG0003467	GBNTN_004130-T1	GBNWO_005510-T1
OG0003468	GBNTN_004131-T1	GBNWO_005511-T1
OG0003469	GBNTN_004132-T1	GBNWO_005512-T1
OG0003470	GBNTN_004133-T1	GBNWO_005513-T1
OG0003471	GBNTN_004134-T1	GBNWO_005514-T1
OG0003472	GBNTN_004135-T1	GBNWO_001113-T1
OG0003473	GBNTN_004136-T1	GBNWO_001114-T1
OG0003474	GBNTN_004137-T1	GBNWO_005208-T1
OG0003475	GBNTN_004139-T1	GBNWO_004848-T1
OG0003476	GBNTN_004142-T1	GBNWO_004851-T1
OG0003477	GBNTN_004143-T1	GBNWO_004852-T1
OG0003478	GBNTN_004145-T1	GBNWO_006456-T1
OG0003479	GBNTN_004148-T1	GBNWO_006453-T1
OG0003480	GBNTN_004149-T1	GBNWO_006452-T1
OG0003481	GBNTN_004155-T1	GBNWO_003704-T1
OG0003482	GBNTN_004156-T1	GBNWO_003705-T1
OG0003483	GBNTN_004160-T1	GBNWO_001032-T1
OG0003484	GBNTN_004164-T1	GBNWO_002637-T1
OG0003485	GBNTN_004165-T1	GBNWO_002636-T1
OG0003486	GBNTN_004166-T1	GBNWO_002635-T1
OG0003487	GBNTN_004167-T1	GBNWO_002634-T1
OG0003488	GBNTN_004169-T1	GBNWO_002633-T1
OG0003489	GBNTN_004171-T1	GBNWO_002631-T1
OG0003490	GBNTN_004172-T1	GBNWO_005408-T1
OG0003491	GBNTN_004173-T1	GBNWO_008115-T1
OG0003492	GBNTN_004174-T1	GBNWO_008114-T1
OG0003493	GBNTN_004175-T1	GBNWO_008113-T1
OG0003494	GBNTN_004176-T1	GBNWO_008985-T1
OG0003495	GBNTN_004177-T1	GBNWO_008986-T1
OG0003496	GBNTN_004180-T1	GBNWO_002769-T1
OG0003497	GBNTN_004182-T1	GBNWO_002767-T1
OG0003498	GBNTN_004183-T1	GBNWO_002766-T1
OG0003499	GBNTN_004184-T1	GBNWO_002765-T1
OG0003500	GBNTN_004188-T1	GBNWO_002772-T1
OG0003501	GBNTN_004190-T1	GBNWO_002774-T1
OG0003502	GBNTN_004191-T1	GBNWO_006369-T1
OG0003503	GBNTN_004193-T1	GBNWO_006367-T1
OG0003504	GBNTN_004194-T1	GBNWO_000584-T1
OG0003505	GBNTN_004195-T1	GBNWO_000583-T1
OG0003506	GBNTN_004196-T1	GBNWO_009342-T1
OG0003507	GBNTN_004197-T1	GBNWO_003260-T1
OG0003508	GBNTN_004198-T1	GBNWO_001940-T1
OG0003509	GBNTN_004204-T1	GBNWO_007962-T1
OG0003510	GBNTN_004206-T1	GBNWO_000523-T1
OG0003511	GBNTN_004214-T1	GBNWO_008557-T1
OG0003512	GBNTN_004215-T1	GBNWO_008558-T1
OG0003513	GBNTN_004216-T1	GBNWO_008559-T1
OG0003514	GBNTN_004218-T1	GBNWO_008374-T1
OG0003515	GBNTN_004220-T1	GBNWO_008372-T1
OG0003516	GBNTN_004221-T1	GBNWO_006103-T1
OG0003517	GBNTN_004222-T1	GBNWO_006102-T1
OG0003518	GBNTN_004223-T1	GBNWO_006101-T1
OG0003519	GBNTN_004224-T1	GBNWO_006100-T1
OG0003520	GBNTN_004227-T1	GBNWO_004584-T1
OG0003521	GBNTN_004230-T1	GBNWO_004588-T1
OG0003522	GBNTN_004233-T1	GBNWO_001352-T1
OG0003523	GBNTN_004234-T1	GBNWO_001351-T1
OG0003524	GBNTN_004235-T1	GBNWO_004638-T1
OG0003525	GBNTN_004236-T1	GBNWO_004639-T1
OG0003526	GBNTN_004237-T1	GBNWO_004640-T1
OG0003527	GBNTN_004238-T1	GBNWO_004641-T1
OG0003528	GBNTN_004239-T1	GBNWO_004642-T1
OG0003529	GBNTN_004240-T1	GBNWO_004643-T1
OG0003530	GBNTN_004241-T1	GBNWO_004644-T1
OG0003531	GBNTN_004243-T1	GBNWO_001356-T1
OG0003532	GBNTN_004245-T1	GBNWO_001953-T1
OG0003533	GBNTN_004246-T1	GBNWO_000273-T1
OG0003534	GBNTN_004247-T1	GBNWO_000272-T1
OG0003535	GBNTN_004250-T1	GBNWO_005200-T1
OG0003536	GBNTN_004251-T1	GBNWO_003814-T1
OG0003537	GBNTN_004253-T1	GBNWO_009250-T1
OG0003538	GBNTN_004254-T1	GBNWO_009251-T1
OG0003539	GBNTN_004255-T1	GBNWO_009252-T1
OG0003540	GBNTN_004257-T1	GBNWO_002387-T1
OG0003541	GBNTN_004261-T1	GBNWO_000699-T1
OG0003542	GBNTN_004263-T1	GBNWO_002246-T1
OG0003543	GBNTN_004264-T1	GBNWO_008183-T1
OG0003544	GBNTN_004265-T1	GBNWO_008182-T1
OG0003545	GBNTN_004266-T1	GBNWO_008181-T1
OG0003546	GBNTN_004267-T1	GBNWO_008180-T1
OG0003547	GBNTN_004270-T1	GBNWO_008177-T1
OG0003548	GBNTN_004272-T1	GBNWO_008175-T1
OG0003549	GBNTN_004273-T1	GBNWO_008174-T1
OG0003550	GBNTN_004274-T1	GBNWO_008173-T1
OG0003551	GBNTN_004275-T1	GBNWO_008172-T1
OG0003552	GBNTN_004278-T1	GBNWO_008170-T1
OG0003553	GBNTN_004280-T1	GBNWO_005834-T1
OG0003554	GBNTN_004281-T1	GBNWO_005833-T1
OG0003555	GBNTN_004282-T1	GBNWO_005832-T1
OG0003556	GBNTN_004283-T1	GBNWO_005831-T1
OG0003557	GBNTN_004284-T1	GBNWO_005830-T1
OG0003558	GBNTN_004285-T1	GBNWO_000728-T1
OG0003559	GBNTN_004286-T1	GBNWO_000727-T1
OG0003560	GBNTN_004287-T1	GBNWO_000726-T1
OG0003561	GBNTN_004288-T1	GBNWO_000811-T1
OG0003562	GBNTN_004289-T1	GBNWO_000813-T1
OG0003563	GBNTN_004291-T1	GBNWO_005744-T1
OG0003564	GBNTN_004292-T1	GBNWO_006349-T1
OG0003565	GBNTN_004294-T1	GBNWO_006347-T1
OG0003566	GBNTN_004296-T1	GBNWO_006345-T1
OG0003567	GBNTN_004299-T1	GBNWO_006343-T1
OG0003568	GBNTN_004300-T1	GBNWO_006342-T1
OG0003569	GBNTN_004301-T1	GBNWO_006341-T1
OG0003570	GBNTN_004302-T1	GBNWO_006340-T1
OG0003571	GBNTN_004303-T1	GBNWO_006339-T1
OG0003572	GBNTN_004304-T1	GBNWO_006338-T1
OG0003573	GBNTN_004305-T1	GBNWO_006337-T1
OG0003574	GBNTN_004310-T1	GBNWO_005970-T1
OG0003575	GBNTN_004311-T1	GBNWO_005969-T1
OG0003576	GBNTN_004315-T1	GBNWO_008042-T1
OG0003577	GBNTN_004319-T1	GBNWO_005937-T1
OG0003578	GBNTN_004320-T1	GBNWO_005938-T1
OG0003579	GBNTN_004321-T1	GBNWO_005939-T1
OG0003580	GBNTN_004322-T1	GBNWO_005940-T1
OG0003581	GBNTN_004323-T1	GBNWO_005941-T1
OG0003582	GBNTN_004326-T1	GBNWO_005944-T1
OG0003583	GBNTN_004329-T1	GBNWO_005382-T1
OG0003584	GBNTN_004330-T1	GBNWO_000136-T1
OG0003585	GBNTN_004333-T1	GBNWO_002507-T1
OG0003586	GBNTN_004334-T1	GBNWO_002506-T1
OG0003587	GBNTN_004336-T1	GBNWO_005297-T1
OG0003588	GBNTN_004337-T1	GBNWO_003765-T1
OG0003589	GBNTN_004338-T1	GBNWO_003764-T1
OG0003590	GBNTN_004341-T1	GBNWO_008029-T1
OG0003591	GBNTN_004342-T1	GBNWO_008030-T1
OG0003592	GBNTN_004343-T1	GBNWO_008031-T1
OG0003593	GBNTN_004344-T1	GBNWO_000944-T1
OG0003594	GBNTN_004346-T1	GBNWO_003252-T1
OG0003595	GBNTN_004347-T1	GBNWO_003251-T1
OG0003596	GBNTN_004348-T1	GBNWO_003250-T1
OG0003597	GBNTN_004351-T1	GBNWO_003248-T1
OG0003598	GBNTN_004352-T1	GBNWO_003247-T1
OG0003599	GBNTN_004354-T1	GBNWO_005312-T1
OG0003600	GBNTN_004355-T1	GBNWO_005313-T1
OG0003601	GBNTN_004356-T1	GBNWO_005314-T1
OG0003602	GBNTN_004357-T1	GBNWO_005315-T1
OG0003603	GBNTN_004358-T1	GBNWO_005316-T1
OG0003604	GBNTN_004359-T1	GBNWO_005317-T1
OG0003605	GBNTN_004360-T1	GBNWO_005318-T1
OG0003606	GBNTN_004361-T1	GBNWO_005319-T1
OG0003607	GBNTN_004362-T1	GBNWO_001103-T1
OG0003608	GBNTN_004364-T1	GBNWO_002253-T1
OG0003609	GBNTN_004365-T1	GBNWO_002254-T1
OG0003610	GBNTN_004366-T1	GBNWO_008440-T1
OG0003611	GBNTN_004370-T1	GBNWO_000371-T1
OG0003612	GBNTN_004371-T1	GBNWO_000370-T1
OG0003613	GBNTN_004372-T1	GBNWO_000369-T1
OG0003614	GBNTN_004373-T1	GBNWO_000368-T1
OG0003615	GBNTN_004374-T1	GBNWO_000840-T1
OG0003616	GBNTN_004376-T1	GBNWO_000838-T1
OG0003617	GBNTN_004377-T1	GBNWO_000837-T1
OG0003618	GBNTN_004378-T1	GBNWO_004327-T1
OG0003619	GBNTN_004383-T1	GBNWO_008679-T1
OG0003620	GBNTN_004384-T1	GBNWO_008627-T1
OG0003621	GBNTN_004386-T1	GBNWO_008307-T1
OG0003622	GBNTN_004388-T1	GBNWO_008309-T1
OG0003623	GBNTN_004389-T1	GBNWO_007871-T1
OG0003624	GBNTN_004390-T1	GBNWO_007872-T1
OG0003625	GBNTN_004392-T1	GBNWO_007874-T1
