	Gilbertella_persicariavar.indica_CBS_442.64-.aa	Gilbertella_persicariavar.persicaria_CBS_246.59_Plus.aa
OG0000062	GBNTN_002255-T1, GBNTN_003831-T1, GBNTN_005301-T1, GBNTN_008444-T1	GBNWO_000654-T1, GBNWO_002904-T1, GBNWO_006633-T1, GBNWO_009002-T1
OG0000063	GBNTN_002723-T1, GBNTN_004747-T1, GBNTN_008757-T1	GBNWO_001431-T1, GBNWO_003522-T1, GBNWO_006922-T1, GBNWO_007241-T1, GBNWO_007242-T1
OG0000064	GBNTN_002918-T1, GBNTN_004706-T1, GBNTN_006147-T1, GBNTN_009775-T1	GBNWO_000679-T1, GBNWO_001050-T1, GBNWO_002597-T1, GBNWO_003761-T1
OG0000065	GBNTN_003312-T1, GBNTN_004405-T1, GBNTN_006001-T1, GBNTN_007071-T1	GBNWO_001243-T1, GBNWO_002753-T1, GBNWO_006108-T1, GBNWO_007059-T1
OG0000066	GBNTN_003319-T1, GBNTN_006007-T1, GBNTN_006009-T1, GBNTN_007809-T1	GBNWO_001048-T1, GBNWO_001219-T1, GBNWO_002775-T1, GBNWO_005829-T1
OG0000067	GBNTN_003324-T1, GBNTN_003344-T1, GBNTN_005926-T1, GBNTN_008818-T1	GBNWO_000260-T1, GBNWO_000951-T1, GBNWO_002537-T1, GBNWO_006304-T1
OG0000068	GBNTN_003533-T1, GBNTN_003534-T1, GBNTN_005609-T1, GBNTN_006850-T1, GBNTN_007054-T1, GBNTN_008062-T1, GBNTN_009087-T1, GBNTN_009939-T1	
OG0000069	GBNTN_003555-T1, GBNTN_006676-T1, GBNTN_008125-T1, GBNTN_009968-T1	GBNWO_004134-T1, GBNWO_004754-T1, GBNWO_005444-T1, GBNWO_008147-T1
OG0000070	GBNTN_003890-T1, GBNTN_006477-T1, GBNTN_006552-T1, GBNTN_008352-T1	GBNWO_000224-T1, GBNWO_000349-T1, GBNWO_007692-T1, GBNWO_008850-T1
OG0000071	GBNTN_005309-T1, GBNTN_005835-T1, GBNTN_009526-T1, GBNTN_009929-T1	GBNWO_003421-T1, GBNWO_007580-T1, GBNWO_009593-T1, GBNWO_009600-T1
OG0000072	GBNTN_005534-T1, GBNTN_005719-T1, GBNTN_007900-T1, GBNTN_009903-T1	GBNWO_004387-T1, GBNWO_008628-T1, GBNWO_008822-T1, GBNWO_009305-T1
OG0000073	GBNTN_005923-T1, GBNTN_008028-T1, GBNTN_008861-T1, GBNTN_008958-T1	GBNWO_002490-T1, GBNWO_007914-T1, GBNWO_008639-T1, GBNWO_008661-T1
OG0000074	GBNTN_000081-T1, GBNTN_000082-T1, GBNTN_002146-T1, GBNTN_006781-T1	GBNWO_000712-T1, GBNWO_002249-T1, GBNWO_003292-T1
OG0000075	GBNTN_000090-T1, GBNTN_003008-T1, GBNTN_007069-T1, GBNTN_009767-T1	GBNWO_001058-T1, GBNWO_001708-T1, GBNWO_005389-T1
OG0000076	GBNTN_000133-T1, GBNTN_000574-T1, GBNTN_008957-T1, GBNTN_009236-T1, GBNTN_009285-T1, GBNTN_009829-T1	GBNWO_001457-T1
OG0000077	GBNTN_000193-T1, GBNTN_001719-T1, GBNTN_005298-T1, GBNTN_008243-T1	GBNWO_005055-T1, GBNWO_006630-T1, GBNWO_008505-T1
OG0000078	GBNTN_000309-T1, GBNTN_001456-T1	GBNWO_000361-T1, GBNWO_002065-T1, GBNWO_003549-T1, GBNWO_004462-T1, GBNWO_005951-T1
OG0000079	GBNTN_000377-T1, GBNTN_001119-T1, GBNTN_001225-T1	GBNWO_002182-T1, GBNWO_006240-T1, GBNWO_008230-T1, GBNWO_009106-T1
OG0000080	GBNTN_000405-T1, GBNTN_006627-T1, GBNTN_006823-T1	GBNWO_001690-T1, GBNWO_001691-T1, GBNWO_002264-T1, GBNWO_007176-T1
OG0000081	GBNTN_000485-T1, GBNTN_005016-T1, GBNTN_005017-T1, GBNTN_006038-T1	GBNWO_000828-T1, GBNWO_001423-T1, GBNWO_001962-T1
OG0000082	GBNTN_000534-T1, GBNTN_002484-T1, GBNTN_009849-T1	GBNWO_000938-T1, GBNWO_003783-T1, GBNWO_006799-T1, GBNWO_008645-T1
OG0000083	GBNTN_000575-T1, GBNTN_001403-T1, GBNTN_005121-T1, GBNTN_006829-T1, GBNTN_009891-T1	GBNWO_004322-T1, GBNWO_009449-T1
OG0000084	GBNTN_000652-T1, GBNTN_001138-T1, GBNTN_003119-T1, GBNTN_004242-T1, GBNTN_005991-T1, GBNTN_008672-T1	GBNWO_004705-T1
OG0000085	GBNTN_000898-T1, GBNTN_003268-T1, GBNTN_003771-T1, GBNTN_009871-T1	GBNWO_000340-T1, GBNWO_000549-T1, GBNWO_003257-T1
